(1, (482, 632))	1	570	False	495
(1, (482, 632))	0.9	570	False	495
(1, (482, 632))	0.8	570	False	495
(1, (482, 632))	0.7	570	False	495
(1, (482, 632))	0.6	570	False	495
(1, (482, 632))	0.5	570	False	495
(1, (482, 632))	0.4	540.0	False	465.0
(1, (482, 632))	0.3	540.0	False	465.0
(1, (482, 632))	0.2	540.0	False	465.0
(1, (482, 632))	0.1	540.0	False	465.0
(1, (482, 632))	0.01	540.0	False	465.0
(3, (570, 600))	1	583	False	568
(3, (570, 600))	0.9	583	False	568
(3, (570, 600))	0.8	583	False	568
(3, (570, 600))	0.7	583	False	568
(3, (570, 600))	0.6	580	False	565
(3, (570, 600))	0.5	580	False	565
(3, (570, 600))	0.4	582	False	567
(3, (570, 600))	0.3	540.0	False	525.0
(3, (570, 600))	0.2	540.0	False	525.0
(3, (570, 600))	0.1	540.0	False	525.0
(3, (570, 600))	0.01	540.0	False	525.0
(441, (530, 557))	1	556	False	543
(441, (530, 557))	0.9	556	False	543
(441, (530, 557))	0.8	545	False	532
(441, (530, 557))	0.7	545	False	532
(441, (530, 557))	0.6	543	False	530
(441, (530, 557))	0.5	540	False	527
(441, (530, 557))	0.4	537	False	524
(441, (530, 557))	0.3	534	False	521
(441, (530, 557))	0.2	529	False	516
(441, (530, 557))	0.1	540.0	False	527.0
(441, (530, 557))	0.01	540.0	False	527.0
(423, (555, 590))	1	568	False	551
(423, (555, 590))	0.9	568	False	551
(423, (555, 590))	0.8	568	False	551
(423, (555, 590))	0.7	567	False	550
(423, (555, 590))	0.6	569	False	552
(423, (555, 590))	0.5	540.0	False	523.0
(423, (555, 590))	0.4	540.0	False	523.0
(423, (555, 590))	0.3	540.0	False	523.0
(423, (555, 590))	0.2	540.0	False	523.0
(423, (555, 590))	0.1	540.0	False	523.0
(423, (555, 590))	0.01	540.0	False	523.0
(5, (545, 575))	1	559	False	544
(5, (545, 575))	0.9	559	False	544
(5, (545, 575))	0.8	559	False	544
(5, (545, 575))	0.7	559	False	544
(5, (545, 575))	0.6	562	False	547
(5, (545, 575))	0.5	540.0	False	525.0
(5, (545, 575))	0.4	540.0	False	525.0
(5, (545, 575))	0.3	540.0	False	525.0
(5, (545, 575))	0.2	540.0	False	525.0
(5, (545, 575))	0.1	540.0	False	525.0
(5, (545, 575))	0.01	540.0	False	525.0
