441	0.2	20	22	32	0.2	0.1	13743.641002324555
3	0.2	17	39	22	0.1	0.1	5196.559543186761
441	0.2	7	41	17	0.2	0.1	13752.69546073846
3	0.2	7	39	20	0.1	0.1	5156.118696431261
441	0.2	14	8	18	0.1	0.1	13737.453900174194
441	0.2	3	41	25	0.1	0.1	13438.716225807219
441	0.2	21	41	23	0.2	0.1	13546.391802696555
441	0.30000000000000004	3	18	8	0.1	0.1	13406.720171049943
441	0.2	17	11	25	0.1	0.1	13680.47563556689
441	0.2	3	6	27	0.2	0.1	13730.633302921591
3	0.2	20	21	22	0.1	0.1	5198.432856763141
441	0.2	17	45	36	0.2	0.2	13758.250395759595
441	0.2	17	45	24	0.1	0.1	13417.564280861185
441	0.2	31	37	20	0.1	0.1	13498.840574790862
441	0.30000000000000004	6	30	20	0.2	0.2	13757.241742857663
441	0.2	42	52	25	0.1	0.1	13622.373139653966
423	0.2	7	40	23	0.2	0.1	12667.230322515434
