                                       T. Perdido  D. Perdidas  D. Ruido  ID swap  nBalls  <20%  20%80%  >80% Recall Precision   MOTA   MOTP
3__ColorTracking__0.1_20_25_35_0.2_0.2.txt          59          175       112        1       3     0       2     1 81.66%    87.43% 69.81% 74.22%
3__ColorTracking__0.1_20_30_15_0.1_0.1.txt          59          175       112        1       3     0       2     1 81.66%    87.43% 69.81% 74.22%
3__ColorTracking__0.1_20_30_15_0.1_0.2.txt          59          175       112        1       3     0       2     1 81.66%    87.43% 69.81% 74.22%
3__ColorTracking__0.1_20_30_15_0.2_0.1.txt          59          175       112        1       3     0       2     1 81.66%    87.43% 69.81% 74.22%
3__ColorTracking__0.1_20_30_15_0.2_0.2.txt          59          175       112        1       3     0       2     1 81.66%    87.43% 69.81% 74.22%
3__ColorTracking__0.1_20_30_20_0.1_0.1.txt          59          175       112        1       3     0       2     1 81.66%    87.43% 69.81% 74.22%
3__ColorTracking__0.1_20_30_20_0.1_0.2.txt          59          175       112        1       3     0       2     1 81.66%    87.43% 69.81% 74.22%
3__ColorTracking__0.1_20_30_20_0.2_0.1.txt          59          175       112        1       3     0       2     1 81.66%    87.43% 69.81% 74.22%
3__ColorTracking__0.1_20_30_20_0.2_0.2.txt          59          175       112        1       3     0       2     1 81.66%    87.43% 69.81% 74.22%
3__ColorTracking__0.1_20_30_25_0.1_0.1.txt          59          175       112        1       3     0       2     1 81.66%    87.43% 69.81% 74.22%
3__ColorTracking__0.1_20_30_25_0.1_0.2.txt          59          175       112        1       3     0       2     1 81.66%    87.43% 69.81% 74.22%
3__ColorTracking__0.1_20_30_25_0.2_0.1.txt          59          175       112        1       3     0       2     1 81.66%    87.43% 69.81% 74.22%
3__ColorTracking__0.1_20_30_25_0.2_0.2.txt          59          175       112        1       3     0       2     1 81.66%    87.43% 69.81% 74.22%
3__ColorTracking__0.1_20_30_30_0.1_0.1.txt          59          175       112        1       3     0       2     1 81.66%    87.43% 69.81% 74.22%
3__ColorTracking__0.1_20_30_30_0.1_0.2.txt          59          175       112        1       3     0       2     1 81.66%    87.43% 69.81% 74.22%
3__ColorTracking__0.1_20_30_30_0.2_0.1.txt          59          175       112        1       3     0       2     1 81.66%    87.43% 69.81% 74.22%
3__ColorTracking__0.1_20_30_30_0.2_0.2.txt          59          175       112        1       3     0       2     1 81.66%    87.43% 69.81% 74.22%
